facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
FAC0458,Pune,Bus Stand,6.3,6.4,3.1,Yes,229,2,2024-08-25
FAC0104,Delhi,Hospital,9.1,2.5,5.2,Yes,320,2,2024-06-07
FAC0414,Mumbai,Market,5.4,4.7,4.5,Yes,246,,2024-03-23
FAC0344,Pune,Railway Station,6.2,8.5,1.3,Yes,643,1,2024-12-13
FAC0385,Kolkata,Public Toilet,4.4,6.0,1.0,No,346,0,2024-05-13
FAC0055,Mumbai,Hospital,7.9,3.9,7.0,Partial,360,4,2024-03-03
FAC0439,Mumbai,Bus Stand,-2,7.7,3.7,Yes,295,4,2024-04-04
FAC0297,Chennai,Market,5.3,4.8,3.6,Yes,339,1,2024-08-14
FAC0292,Kolkata,Park,7.3,-0.4,5.2,Partial,168,7,2024-03-23
FAC0148,Pune,Market,4.2,8.1,2.8,Yes,211,5,2024-09-11
FAC0373,Chennai,Public Toilet,3.9,6.3,3.9,Yes,137,5,2024-06-15
FAC0101,Delhi,Railway Station,11,6.5,2.5,Maybe,139,8,2024-06-29
FAC0282,Mumbai,Hospital,7.2,4.1,7.6,Partial,219,2,2024-02-09
FAC0462,Chennai,Bus Stand,10.2,6.3,5.6,Yes,193,4,2024-12-15
FAC0484,Delhi,Hospital,7.5,5.0,3.3,No,86,3,2024-12-16
FAC0498,Pune,Railway Station,2.2,4.6,0.9,No,292,2,2024-01-04
FAC0494,Pune,Hospital,4.8,4.1,6.4,Yes,211,2,2024-07-31
FAC0165,Chennai,Railway Station,8.3,7.2,2.2,Partial,196,8,2024-07-28
FAC0497,Chennai,Market,9.4,4.7,8.3,Partial,258,5,2024-03-21
FAC0399,Bangalore,Hospital,7.2,7.9,7.7,Yes,255,1,2024-04-08
FAC0118,Bangalore,Park,6.6,3.9,3.8,No,417,6,2024-03-22
FAC0204,Delhi,Bus Stand,5.5,6.1,6.6,Yes,199,2,2024-06-18
FAC0237,Mumbai,Market,8.1,4.0,6.0,Yes,191,0,2024-03-14
FAC0286,Bangalore,Public Toilet,5.9,6.1,7.4,No,361,2,2024-05-15
FAC0489,Pune,Bus Stand,7.3,4.4,2.6,No,125,7,2024-03-19
FAC0195,Delhi,Railway Station,8.2,8.4,7.1,Yes,161,4,2024-01-19
FAC0038,Pune,Public Toilet,10.9,6.1,1.4,Yes,395,3,2024-12-24
FAC0125,Pune,Park,6.8,3.6,5.2,Partial,3000,5,2024-08-29
FAC0184,Chennai,Market,2.8,10.5,4.5,Yes,628,3,2024-02-12
FAC0376,Kolkata,Railway Station,7.8,4.1,4.1,Yes,284,0,2024-06-06
FAC0456,Kolkata,Park,7.1,2.2,5.6,Yes,454,1,2024-05-17
FAC0087,Mumbai,Market,8.5,3.1,5.2,Yes,556,2,2024-04-30
FAC0122,Delhi,Bus Stand,11.8,3.9,3.2,Yes,378,4,2024-11-09
FAC0389,Kolkata,Hospital,6.8,4.9,4.1,Yes,576,5,2024-08-30
FAC0089,Pune,Hospital,8.1,5.4,6.4,No,276,6,2024-01-30
FAC0117,Delhi,Hospital,4.9,6.7,4.0,No,218,1,2024-03-07
FAC0086,Bangalore,Public Toilet,8.1,1.2,7.7,Yes,365,0,2024-09-25
FAC0020,Pune,Park,10.7,9.2,4.7,Yes,363,3,2024-04-17
FAC0140,Delhi,Hospital,7.8,8.4,4.1,No,77,8,2024-03-09
FAC0196,Kolkata,Hospital,8.6,5.4,2.2,Yes,303,10,2024-04-24
FAC0092,Bangalore,Railway Station,6.4,2.9,7.0,Partial,500,5,2024-11-04
FAC0080,Bangalore,Park,5.3,5.1,5.5,Partial,350,8,2024-08-07
FAC0483,Kolkata,Bus Stand,2.8,5.8,1.7,No,328,6,2024-12-12
FAC0193,Bangalore,Hospital,6.3,2.2,7.0,Yes,460,7,2024-05-17
FAC0147,Mumbai,Railway Station,4.7,7.4,5.3,Partial,314,,2024-03-01
FAC0029,Chennai,Hospital,7.0,7.7,7.7,Yes,144,2,2024-04-11
FAC0339,Chennai,Public Toilet,7.7,4.8,4.0,Yes,219,,2024-02-26
FAC0239,Delhi,Park,15,6.4,2.2,Maybe,373,,2024-05-07
FAC0457,Pune,Park,7.8,1.9,8.8,Yes,106,1,2024-02-02
FAC0163,Kolkata,Park,6.8,6.4,2.7,Yes,644,5,2024-06-02
FAC0491,Chennai,Market,8.2,2.8,2.2,Yes,191,6,2024-02-01
FAC0201,Pune,Hospital,5.6,7.4,5.0,Yes,657,4,2024-04-16
FAC0250,Pune,Park,6.7,5.3,3.0,Yes,72,3,2024-03-17
FAC0050,Pune,Park,6.1,5.0,4.6,Yes,237,0,2024-04-11
FAC0380,Mumbai,Bus Stand,6.0,3.1,5.7,Yes,263,1,2024-07-03
FAC0390,Bangalore,Bus Stand,8.1,3.4,4.1,Yes,446,2,2024-08-09
FAC0186,Pune,Railway Station,6.8,7.9,-1.5,No,241,0,2024-07-14
FAC0245,Chennai,Bus Stand,5.7,3.4,4.5,Yes,323,8,2024-05-11
FAC0360,Kolkata,Market,4.5,2.5,4.0,Partial,482,5,2024-12-27
FAC0391,Kolkata,Hospital,7.5,4.1,4.4,Partial,367,0,2024-04-02
FAC0301,Mumbai,Public Toilet,8.9,4.1,2.9,Partial,122,9,2024-04-03
FAC0223,Delhi,Park,6.3,,5.2,No,271,0,2024-08-02
FAC0273,Delhi,Railway Station,,1.5,5.5,Yes,67,4,2024-02-13
FAC0187,Delhi,Hospital,7.5,5.5,4.2,Yes,296,0,2024-02-21
FAC0321,Kolkata,Public Toilet,5.4,6.4,7.3,No,261,3,2024-11-16
FAC0004,Mumbai,Bus Stand,7.2,6.8,2.9,No,205,1,2024-03-28
FAC0010,Delhi,Public Toilet,5.7,5.6,7.3,Yes,448,5,2024-05-15
