facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
FAC0001,Pune,Public Toilet,7.9,5.5,5.1,Partial,541.0,6.0,2024-10-06
FAC0002,Chennai,Bus Stand,7.5,4.0,5.1,Yes,304.0,2.0,2024-07-02
FAC0003,Bangalore,Park,6.5,6.1,3.4,No,319.0,6.0,2024-05-28
FAC0004,Mumbai,Bus Stand,7.2,6.8,2.9,No,205.0,1.0,2024-03-28
FAC0005,Kolkata,Hospital,6.6,7.7,3.9,Partial,639.0,4.0,2024-10-17
FAC0006,Pune,Railway Station,8.1,6.0,7.0,No,351.0,5.0,2024-03-11
FAC0007,Kolkata,Market,7.0,5.8,6.9,No,434.0,1.0,2024-02-28
FAC0008,Pune,Park,5.5,5.5,0.7,Yes,422.0,6.0,2024-02-24
FAC0009,Pune,Railway Station,6.5,3.5,5.2,Yes,437.0,0.0,2024-06-06
FAC0010,Delhi,Public Toilet,5.7,5.6,7.3,Yes,448.0,5.0,2024-05-15
FAC0011,Kolkata,Park,5.4,6.1,1.0,Yes,240.0,3.0,2024-01-11
FAC0012,Kolkata,Park,4.7,5.7,6.0,Yes,286.0,2.0,2024-10-03
FAC0013,Delhi,Hospital,8.7,4.5,0.7,No,344.0,4.0,2024-02-20
FAC0014,Mumbai,Market,7.3,5.0,0.6,Yes,300.0,5.0,2024-10-08
FAC0015,Mumbai,Public Toilet,5.2,3.5,5.5,Yes,306.0,5.0,2024-08-20
FAC0016,Bangalore,Market,8.3,4.4,1.1,Partial,208.0,1.0,2024-01-26
FAC0017,Kolkata,Market,3.0,5.4,7.6,Yes,618.0,4.0,2024-01-21
FAC0018,Kolkata,Public Toilet,6.0,3.2,5.9,Partial,252.0,6.0,2024-02-07
FAC0019,Mumbai,Market,4.8,3.7,6.7,Partial,409.0,3.0,2024-11-09
FAC0020,Pune,Park,6.5,9.2,4.7,Yes,363.0,3.0,2024-04-17
FAC0021,Pune,Railway Station,6.5,8.2,4.3,Yes,473.0,6.0,2024-08-06
FAC0022,Kolkata,Public Toilet,7.5,9.2,7.9,Yes,27.0,2.0,2024-01-21
FAC0023,Bangalore,Bus Stand,5.4,2.8,2.8,No,452.0,8.0,2024-04-01
FAC0024,Pune,Railway Station,6.0,5.9,2.3,Yes,272.0,9.0,2024-06-05
FAC0025,Delhi,Bus Stand,7.7,5.5,2.4,Yes,564.0,1.0,2024-10-24
FAC0026,Bangalore,Public Toilet,8.2,7.2,6.0,Yes,0.0,7.0,2024-10-02
FAC0027,Pune,Hospital,9.2,4.3,5.3,Yes,450.0,0.0,2024-10-10
FAC0028,Delhi,Bus Stand,6.5,1.3,7.0,Yes,205.0,2.0,2024-08-14
FAC0029,Chennai,Hospital,7.0,7.7,7.7,Yes,144.0,2.0,2024-04-11
FAC0030,Delhi,Public Toilet,5.3,5.5,6.3,Partial,334.0,3.0,2024-12-01
FAC0031,Pune,Public Toilet,9.3,3.0,7.4,Yes,128.0,7.0,2024-12-07
