facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,inspection_date,hygiene_risk
FAC01294,Delhi,Market,4.8,5.5,4.8,4,264,14.6,2024-05-28,Medium
FAC00197,Kolkata,Market,7.8,4.6,7.3,3,323,1.4,2024-05-03,Medium
FAC00966,Bangalore,Park,4.9,7.5,5.0,8,435,11.2,2024-06-05,High
FAC00210,Chennai,Public Toilet,7.1,4.9,4.6,8,430,23.5,2024-06-18,Medium
FAC00412,Pune,Park,7.4,6.3,3.6,5,205,5.3,2024-02-24,Low
FAC00377,Delhi,Public Toilet,7.4,4.8,4.5,1,326,20.3,2024-07-01,Low
FAC01303,Pune,Park,8.7,5.2,4.3,1,354,21.5,2024-05-23,Low
FAC01168,Kolkata,Public Toilet,7.9,3.5,3.4,5,282,4.1,2024-06-16,Low
FAC01421,Chennai,Public Toilet,5.3,4.5,6.8,4,211,15.0,2024-03-15,Medium
FAC00419,Kolkata,Public Toilet,3.9,7.8,6.3,2,444,8.1,2024-11-30,High
FAC00085,Mumbai,Bus Stand,4.8,5.4,7.0,9,713,6.8,2024-08-27,High
FAC01254,Delhi,Park,5.7,8.1,5.2,5,247,20.9,2024-01-05,High
FAC01169,Delhi,Public Toilet,5.3,4.0,4.6,3,64,13.1,2024-03-12,Low
FAC01210,Chennai,Park,7.9,5.9,3.5,5,297,6.3,2024-03-06,Low
FAC00223,Pune,Park,4.6,6.0,5.5,1,596,13.5,2024-06-28,Medium
FAC00859,Delhi,Park,5.3,5.7,6.9,0,636,0.5,2024-09-27,Medium
FAC00957,Pune,Public Toilet,5.8,3.3,4.2,3,343,5.4,2024-03-14,Low
FAC00366,Bangalore,Park,5.3,6.6,3.1,0,80,21.3,2024-05-09,Medium
FAC00300,Mumbai,Railway Station,7.0,,6.1,6,166,17.6,2024-07-10,Low
FAC00351,Kolkata,Public Toilet,5.7,4.5,1.1,7,53,5.6,2024-07-05,Low
FAC00071,Chennai,Bus Stand,5.6,4.5,6.2,2,274,6.0,2024-03-15,Medium
FAC00512,Mumbai,Bus Stand,7.6,6.0,2.0,5,88,20.5,2024-04-26,Low
FAC01290,Mumbai,Hospital,6.2,8.1,5.6,4,96,6.8,2024-10-24,Medium
FAC01053,Mumbai,Bus Stand,5.5,6.9,4.8,6,265,21.9,2024-06-30,Medium
FAC01482,Bangalore,Bus Stand,7.1,4.5,0.5,0,56,18.8,2024-07-28,Medium
FAC01408,Mumbai,Market,4.2,7.4,4.7,5,624,19.3,2024-03-30,High
FAC00700,Bangalore,Market,8.1,3.9,4.0,4,191,6.7,2024-12-19,Low
FAC00657,Delhi,Park,3.9,5.5,3.1,0,234,4.6,2024-10-18,Low
FAC00083,Pune,Public Toilet,6.7,4.1,5.2,6,329,0.3,2024-11-17,Low
FAC01048,Kolkata,Market,6.0,7.2,5.4,4,491,19.6,2024-02-14,Medium
FAC00878,Mumbai,Hospital,3.8,6.6,6.2,4,243,19.3,2024-03-20,High
FAC00835,Bangalore,Market,3.3,7.3,3.6,0,474,14.4,2024-05-15,High
FAC00729,Chennai,Hospital,5.9,5.9,5.3,1,114,17.7,2024-08-07,Medium
FAC00528,Delhi,Railway Station,4.4,2.5,1.5,4,121,12.1,2024-06-05,Low
FAC00356,Bangalore,Park,7.4,1.4,8.9,4,212,16.1,2024-03-21,Medium
FAC00436,Chennai,Hospital,6.0,8.0,4.8,6,262,7.0,2024-11-05,Medium
