feature,importance
cleanliness_score,0.20306928666800503
odor_x_waste,0.17525744006204197
odor_score,0.12927964164309813
waste_level,0.108111011384519
crowding_index,0.08945273230785376
complaint_rate,0.05236294578912593
footfall,0.047739783224554654
complaints,0.04512501637383663
hours_norm,0.04270393548802578
hours_since_cleaning,0.041330786214695894
location_Mumbai,0.006410739559735867
facility_type_Market,0.005980062237651086
location_Delhi,0.005908710185336594
facility_type_Railway Station,0.005742003394596479
facility_type_Park,0.005514148260566669
facility_type_Bus Stand,0.005513867169242581
facility_type_Public Toilet,0.005257173829798875
location_Chennai,0.005074974169918471
location_Pune,0.005061131756542807
facility_type_Hospital,0.005058776707261581
location_Bangalore,0.005056665551294784
location_Kolkata,0.004989168022297225
